A1	-60.622	-35
A2	60.622	-35
A3	0	70
B1	30.311	17.5
B2	-30.311	17.5
B3	0	-35
C1	-4.33	-2.5
C2	 4.33	-2.5
C3	0	 5
C4	0	-5
C5	4.33	2.5
C6	-4.33	2.5
D1	  8.651  35.0167
D2	 34.651	-10.017
D3	 -8.651	 35.0167
D4	-34.651	-10.017
D5	-26	-25
D6	26	-25
E1  0 -70
E2  0 -62
E3 -4 -66
E4  4 -66
F1  -49	22
F2 -4	22
F3 4	22
F4 49	22
G1	42.713	-9.981
G2	-42.713	-9.981
G3	-30	-32
H1	 12.713	41.981
H2	-12.713	41.981
H3	 30	-32
I1	25.115	14.5
I2	-25.115	14.5
I3	0	-29
J1	-55	36
J2	55	36
J3	-55	-16
J4	55	-16
J5	-55	10
J6	55	10
K1	-52	-20
K2	-52	40
K3	52	40
K4	52	-20
L1	-54.292	-35.964
L2	-58.292	-29.036
L3	-4	65
L4	4	65
L5	54.292	-35.964
L6	58.292	-29.036
M1  -7  10
M2   7  10
M3  -7 -10
M4   7 -10
M5 -10   5
M6  10   5
N1 -46 -16
N2 -46  35
N3  46 -16
N4  46  35
O1 -27 -35
O2 -27  40
O3  27 -35
O4  27  40
P1  -51.9615	-27.5
P2  51.9615	-27.5
P3  2		58.8453
P4  -2		58.8453
P5  -49.962	-31.155
P6  49.962	-31.155

